match_date,team1,team2,venue,result,top_scorer,top_score,gender
2026-06-04,PAK,AUS,Lahore,Pakistan won by 4 wickets (with 49 balls remaining),Josh Inglis†,65,Men
2026-06-03,WI,SL,Kingston,Sri Lanka won by 41 runs,Pathum Nissanka,79,Men
2026-06-02,PAK,AUS,Lahore,Australia won by 41 runs,Shadab Khan,71,Men
2026-05-30,PAK,AUS,Rawalpindi,Pakistan won by 5 wickets (with 45 balls remaining),Babar Azam,69,Men
2026-06-02,ENG-W,IND-W,Taunton,ENG Women won by 6 wickets (with 9 balls remaining),Alice Capsey,82,Women
2026-05-30,ENG-W,IND-W,Bristol,ENG Women won by 26 runs,Freya Kemp,39,Women
2026-06-04,PHI-W,KSA-W,Bangi,PHI Women won by 133 runs,Karri Gullem Keen,67,Women
2026-06-04,JPN-W,MNG-W,Kuala Lumpur,JPN Women won by 116 runs,Ayaka Kato-Stafford,84,Women
2026-06-04,OMA-W,UAE-W,Kuala Lumpur,UAE Women won by 9 wickets (with 80 balls remaining),Esha Oza,31,Women
2026-06-04,MAL-W,SIN-W,Kuala Lumpur,MAS Women won by 40 runs,Mahirah Izzati Ismail,48,Women
2026-06-04,BAN-W,NL-W,Edinburgh,BAN Women won by 13 runs,Dilara Akter,51,Women
2026-06-04,IRE-W,PAK-W,Dublin,ABANDONED,,,Women
2026-06-04,BHR-W,THA-W,Bangi,THA Women won by 10 wickets (with 99 balls remaining),Phannita Maya,22,Women
2026-06-04,BHU-W,NEP-W,Mantin,NEP Women won by 51 runs,Dechen Wangmo,39,Women
2026-06-04,HKG-W,QAT-W,Mantin,HKG Women won by 83 runs,Yasmin Daswani†,84,Women
